,Unnamed: 0,Name,BoroCD,lat,long,American Human Development Index (Community District),Extreme Housing Burden (% of renters),Poverty (% in households with incomes below poverty),geometry,coordinates
43,Queens CD 002,Woodside and Sunnyside,402,40.742923,-73.926903,6.854295477,22.831180014,10.656650116,polygon,"(40.742923, -73.926903, 40.744923, -73.926903, 40.742923, -73.924903, 40.744923, -73.924903)"
44,Queens CD 003,Jackson Heights,403,40.759893,-73.8777,5.695619664,34.454680573,14.803161561,polygon,"(40.759893, -73.8777, 40.761893, -73.8777, 40.759893, -73.87570000000001, 40.761893, -73.87570000000001)"
45,Queens CD 004,Elmhurst and Corona,404,40.742598,-73.866878,5.597023944,34.180676905,17.892400694,polygon,"(40.742598, -73.866878, 40.744598, -73.866878, 40.742598, -73.864878, 40.744598, -73.864878)"
46,Queens CD 005,Ridgewood and Maspeth,405,40.719053,-73.87624,6.156997323,24.80245808,10.368695932,polygon,"(40.719053, -73.87624, 40.721053000000005, -73.87624, 40.719053, -73.87424, 40.721053000000005, -73.87424)"
47,Queens CD 006,Rego Park and Forest Hills,406,40.720224,-73.850817,8.063116444,28.100502238,10.642107607,polygon,"(40.720224, -73.850817, 40.722224000000004, -73.850817, 40.720224, -73.84881700000001, 40.722224000000004, -73.84881700000001)"
48,Queens CD 007,Flushing and Whitestone,407,40.767174,-73.808991,5.734521343,40.838406795,15.865206798,polygon,"(40.767174, -73.808991, 40.769174, -73.808991, 40.767174, -73.80699100000001, 40.769174, -73.80699100000001)"
49,Queens CD 008,Hillcrest and Fresh Meadows,408,40.729591,-73.798856,6.570795402,30.781615674,13.396753893,polygon,"(40.729591, -73.798856, 40.731591, -73.798856, 40.729591, -73.796856, 40.731591, -73.796856)"
50,Queens CD 009,Kew Gardens and Woodhaven,409,40.693938,-73.840386,5.741357725,31.598931175,13.455566551,polygon,"(40.693938, -73.840386, 40.695938000000005, -73.840386, 40.693938, -73.838386, 40.695938000000005, -73.838386)"
51,Queens CD 010,South Ozone Park and Howard Beach,410,40.66087,-73.835577,5.77570388,34.448473644,12.416613379,polygon,"(40.66087, -73.835577, 40.662870000000005, -73.835577, 40.66087, -73.833577, 40.662870000000005, -73.833577)"
52,Queens CD 011,Bayside and Little Neck,411,40.766329,-73.761062,7.626272144,27.401601154,7.834402308,polygon,"(40.766329, -73.761062, 40.768329, -73.761062, 40.766329, -73.759062, 40.768329, -73.759062)"
53,Queens CD 012,Jamaica and Hollis,412,40.694481,-73.764957,5.481225542,31.010365405,12.519873543,polygon,"(40.694481, -73.764957, 40.696481000000006, -73.764957, 40.694481, -73.762957, 40.696481000000006, -73.762957)"
54,Queens CD 013,Queens Village,413,40.711269,-73.737817,6.266220708,30.027156541,7.772901056,polygon,"(40.711269, -73.737817, 40.713269000000004, -73.737817, 40.711269, -73.73581700000001, 40.713269000000004, -73.73581700000001)"
55,Queens CD 014,Rockaway and Broad Channel,414,40.579718,-73.848948,5.267501114,26.30188828,18.855557111,polygon,"(40.579718, -73.848948, 40.581718, -73.848948, 40.579718, -73.846948, 40.581718, -73.846948)"
56,Richmond CD 001,St. George and Stapleton,501,40.614304,-74.13466,5.866035335,35.670941205,19.893130009,polygon,"(40.614304, -74.13466, 40.616304, -74.13466, 40.614304, -74.13266, 40.616304, -74.13266)"
57,Richmond CD 002,South Beach and Willowbrook,502,40.571027,-74.128779,6.649003949,30.805800579,10.806794933,polygon,"(40.571027, -74.128779, 40.573027, -74.128779, 40.571027, -74.126779, 40.573027, -74.126779)"
58,Richmond CD 003,Tottenville and Great Kills,503,40.536073,-74.210543,6.863719018,28.405166036,7.23233096,polygon,"(40.536073, -74.210543, 40.538073000000004, -74.210543, 40.536073, -74.208543, 40.538073000000004, -74.208543)"
